what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1331897185985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897190994
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1331897197375
started,bundle,org.eclipse.wb.core.lib,1.1.0.r36x201109091012,"org.eclipse.wb.core.lib",1331897197833
started,bundle,org.eclipse.wb.core,1.1.0.r36x201109091012,"org.eclipse.wb.core",1331897197945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897199223
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1331897201038
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331897201085
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331897201315
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1331897201564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897205828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897460899
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331897465042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897469597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897472186
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331897472378
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331897472466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897482990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897675927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1331897680925
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1331897681018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897681886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897687614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331897691376
error,log,,,"Could not write workspace metadata '/Users/Magnus/Documents/Kalenderprosjekt/.metadata/.plugins/org.eclipse.core.resources/.snap'.",1331897981141
