

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12:4:32.644      ConnectionImpl - accept                                                                                                                 I was called                                      
12:4:32.647      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:32.765      CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:35.457      ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
12:4:35.458      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:35.483      CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:35.484      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
12:4:38.284      ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
12:4:38.285      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:38.286      CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:38.299      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
12:4:41.87       ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
12:4:41.90       AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:41.93       CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:41.94       CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
12:4:43.894      ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
12:4:43.898      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:43.910      CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:43.923      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
12:4:46.711      ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
12:4:46.713      AbstractConnection                                                                                                                      Waiting for incoming packet in doReceive()        
12:4:46.734      CLSocket::receive                                                                                                                       Receiving at:7878                                 
12:4:46.735      CLSocket::coAccept                                                                                                                      Fant gjenbrukbar innsocket                        
12:4:49.535      ConnectionImpl - receivePacketNotNull                                                                                                               received null-pckg                                
